id,level,order,source_order,character,meanings,readings,strokes,grade,frequency_rank,classical_radical_numbers,radical_names,components,atomic_component,example_words,provenance
n5-kanji-0001,N5,1,1,日,"[""day"", ""sun"", ""Japan"", ""counter for days""]","{""onyomi"": [""ニチ"", ""ジツ""], ""kunyomi"": [""ひ"", ""-び"", ""-か""], ""nanori"": [""あ"", ""あき"", ""いる"", ""く"", ""くさ"", ""こう"", ""す"", ""たち"", ""に"", ""にっ"", ""につ"", ""へ""]}",4,1,1,[72],[],[],True,"[{""written_raw"": ""明日"", ""written_furigana"": ""{明日}(あした)"", ""reading"": ""あした"", ""meanings"": [""tomorrow""]}, {""written_raw"": ""今日"", ""written_furigana"": ""{今日}(きょう)"", ""reading"": ""きょう"", ""meanings"": [""today"", ""this day""]}, {""written_raw"": ""土曜日"", ""written_furigana"": ""{土曜日}(どようび)"", ""reading"": ""どようび"", ""meanings"": [""Saturday""]}, {""written_raw"": ""日曜日"", ""written_furigana"": ""{日曜日}(にちようび)"", ""reading"": ""にちようび"", ""meanings"": [""Sunday""]}, {""written_raw"": ""毎日"", ""written_furigana"": ""{毎日}(まいにち)"", ""reading"": ""まいにち"", ""meanings"": [""every day""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0002,N5,2,2,一,"[""one"", ""one radical (no.1)""]","{""onyomi"": [""イチ"", ""イツ""], ""kunyomi"": [""ひと-"", ""ひと.つ""], ""nanori"": [""かず"", ""い"", ""いっ"", ""いる"", ""かつ"", ""かづ"", ""てん"", ""はじめ"", ""ひ"", ""ひとつ"", ""まこと""]}",1,1,2,[1],[],[],True,"[{""written_raw"": ""一人"", ""written_furigana"": ""{一人}(ひとり)"", ""reading"": ""ひとり"", ""meanings"": [""one person""]}, {""written_raw"": ""一つ"", ""written_furigana"": ""{一}(ひと)つ"", ""reading"": ""ひとつ"", ""meanings"": [""one thing""]}, {""written_raw"": ""一番"", ""written_furigana"": ""{一番}(いちばん)"", ""reading"": ""いちばん"", ""meanings"": [""best (most)"", ""first"", ""number one""]}, {""written_raw"": ""一日"", ""written_furigana"": ""{一日}(いちにち)"", ""reading"": ""いちにち"", ""meanings"": [""one day (duration)""]}, {""written_raw"": ""一昨日"", ""written_furigana"": ""{一昨日}(おととい)"", ""reading"": ""おととい"", ""meanings"": [""the day before yesterday""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0003,N5,3,3,国,"[""country""]","{""onyomi"": [""コク""], ""kunyomi"": [""くに""], ""nanori"": [""くな"", ""こ""]}",8,2,3,[31],[],"[{""symbol"": ""王"", ""meanings"": [""king"", ""rule"", ""magnate""]}, {""symbol"": ""囗"", ""meanings"": [""box"", ""box or enclosure radical (no. 31)""]}, {""symbol"": ""丶"", ""meanings"": [""dot"", ""tick or dot radical (no. 3)""]}]",False,"[{""written_raw"": ""国"", ""written_furigana"": ""{国}(くに)"", ""reading"": ""くに"", ""meanings"": [""country"", ""place of origin""]}, {""written_raw"": ""外国"", ""written_furigana"": ""{外国}(がいこく)"", ""reading"": ""がいこく"", ""meanings"": [""foreign country"", ""abroad""]}, {""written_raw"": ""外国人"", ""written_furigana"": ""{外国人}(がいこくじん)"", ""reading"": ""がいこくじん"", ""meanings"": [""foreigner""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0004,N5,4,4,人,"[""person""]","{""onyomi"": [""ジン"", ""ニン""], ""kunyomi"": [""ひと"", ""-り"", ""-と""], ""nanori"": [""じ"", ""と"", ""ね"", ""ひこ"", ""ふみ""]}",2,1,5,[9],[],[],True,"[{""written_raw"": ""人"", ""written_furigana"": ""{人}(ひと)"", ""reading"": ""ひと"", ""meanings"": [""man"", ""person""]}, {""written_raw"": ""一人"", ""written_furigana"": ""{一人}(ひとり)"", ""reading"": ""ひとり"", ""meanings"": [""one person""]}, {""written_raw"": ""二人"", ""written_furigana"": ""{二人}(ふたり)"", ""reading"": ""ふたり"", ""meanings"": [""two people""]}, {""written_raw"": ""大人"", ""written_furigana"": ""{大人}(おとな)"", ""reading"": ""おとな"", ""meanings"": [""adult""]}, {""written_raw"": ""外国人"", ""written_furigana"": ""{外国人}(がいこくじん)"", ""reading"": ""がいこくじん"", ""meanings"": [""foreigner""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0005,N5,5,5,年,"[""year"", ""counter for years""]","{""onyomi"": [""ネン""], ""kunyomi"": [""とし""], ""nanori"": [""ね""]}",6,1,6,[51],[],"[{""symbol"": ""ノ"", ""meanings"": []}, {""symbol"": ""一"", ""meanings"": [""one"", ""one radical (no.1)""]}, {""symbol"": ""干"", ""meanings"": [""dry"", ""parch"", ""ebb""]}, {""symbol"": ""乞"", ""meanings"": [""beg"", ""invite"", ""ask""]}]",False,"[{""written_raw"": ""来年"", ""written_furigana"": ""{来年}(らいねん)"", ""reading"": ""らいねん"", ""meanings"": [""next year""]}, {""written_raw"": ""今年"", ""written_furigana"": ""{今年}(ことし)"", ""reading"": ""ことし"", ""meanings"": [""this year""]}, {""written_raw"": ""去年"", ""written_furigana"": ""{去年}(きょねん)"", ""reading"": ""きょねん"", ""meanings"": [""last year""]}, {""written_raw"": ""さ来年"", ""written_furigana"": ""さ{来年}(らいねん)"", ""reading"": ""さらいねん"", ""meanings"": [""year after next""]}, {""written_raw"": ""年"", ""written_furigana"": ""{年}(とし)"", ""reading"": ""とし"", ""meanings"": [""year"", ""age""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0006,N5,6,6,大,"[""large"", ""big""]","{""onyomi"": [""ダイ"", ""タイ""], ""kunyomi"": [""おお-"", ""おお.きい"", ""-おお.いに""], ""nanori"": [""うふ"", ""お"", ""おう"", ""た"", ""たかし"", ""とも"", ""はじめ"", ""ひろ"", ""ひろし"", ""まさ"", ""まさる"", ""もと"", ""わ""]}",3,1,7,[37],[],[],True,"[{""written_raw"": ""大学"", ""written_furigana"": ""{大学}(だいがく)"", ""reading"": ""だいがく"", ""meanings"": [""college"", ""university""]}, {""written_raw"": ""大きい"", ""written_furigana"": ""{大}(おお)きい"", ""reading"": ""おおきい"", ""meanings"": [""big"", ""large""]}, {""written_raw"": ""大丈夫"", ""written_furigana"": ""{大丈夫}(だいじょうぶ)"", ""reading"": ""だいじょうぶ"", ""meanings"": [""It's ok (all right)"", ""No need to worry"", ""Everything is under control""]}, {""written_raw"": ""大人"", ""written_furigana"": ""{大人}(おとな)"", ""reading"": ""おとな"", ""meanings"": [""adult""]}, {""written_raw"": ""大きな"", ""written_furigana"": ""{大}(おお)きな"", ""reading"": ""おおきな"", ""meanings"": [""big""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0007,N5,7,7,十,"[""ten""]","{""onyomi"": [""ジュウ"", ""ジッ"", ""ジュッ""], ""kunyomi"": [""とお"", ""と"", ""そ""], ""nanori"": [""い"", ""か"", ""ぎ"", ""さ"", ""し"", ""そう"", ""ち"", ""とう"", ""ね"", ""ま"", ""る"", ""わ""]}",2,1,8,[24],[],[],True,"[{""written_raw"": ""十"", ""written_furigana"": ""{十}(とお)"", ""reading"": ""とお"", ""meanings"": [""ten (~)""]}, {""written_raw"": ""十日"", ""written_furigana"": ""{十日}(とおか)"", ""reading"": ""とおか"", ""meanings"": [""ten days"", ""tenth day of the month""]}, {""written_raw"": ""十"", ""written_furigana"": ""{十}(じゅう)"", ""reading"": ""じゅう"", ""meanings"": [""ten""]}, {""written_raw"": ""二十歳"", ""written_furigana"": ""{二十歳}(はたち)"", ""reading"": ""はたち"", ""meanings"": [""20 years old""]}, {""written_raw"": ""二十日"", ""written_furigana"": ""{二十日}(はつか)"", ""reading"": ""はつか"", ""meanings"": [""twenty days"", ""twentieth (day of the month)""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0008,N5,8,8,二,"[""two"", ""two radical (no. 7)""]","{""onyomi"": [""ニ"", ""ジ""], ""kunyomi"": [""ふた"", ""ふた.つ"", ""ふたたび""], ""nanori"": [""おと"", ""つぐ"", ""つぎ"", ""にい"", ""は"", ""ふ"", ""ふたつ"", ""ふだ"", ""わ""]}",2,1,9,[7],[],[],True,"[{""written_raw"": ""二人"", ""written_furigana"": ""{二人}(ふたり)"", ""reading"": ""ふたり"", ""meanings"": [""two people""]}, {""written_raw"": ""二つ"", ""written_furigana"": ""{二}(ふた)つ"", ""reading"": ""ふたつ"", ""meanings"": [""two things""]}, {""written_raw"": ""二日"", ""written_furigana"": ""{二日}(ふつか)"", ""reading"": ""ふつか"", ""meanings"": [""two days"", ""second day of the month""]}, {""written_raw"": ""二"", ""written_furigana"": ""{二}(に)"", ""reading"": ""に"", ""meanings"": [""two""]}, {""written_raw"": ""二十歳"", ""written_furigana"": ""{二十歳}(はたち)"", ""reading"": ""はたち"", ""meanings"": [""20 years old""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0009,N5,9,9,本,"[""book"", ""present"", ""main"", ""origin"", ""true"", ""real"", ""counter for long cylindrical things""]","{""onyomi"": [""ホン""], ""kunyomi"": [""もと""], ""nanori"": [""まと"", ""ごう""]}",5,1,10,[75],[],"[{""symbol"": ""一"", ""meanings"": [""one"", ""one radical (no.1)""]}, {""symbol"": ""木"", ""meanings"": [""tree"", ""wood""]}]",False,"[{""written_raw"": ""本"", ""written_furigana"": ""{本}(ほん)"", ""reading"": ""ほん"", ""meanings"": [""book""]}, {""written_raw"": ""〜本"", ""written_furigana"": ""〜{本}(ほん)"", ""reading"": ""〜ほん"", ""meanings"": [""counter for long cylindrical things""]}, {""written_raw"": ""本棚"", ""written_furigana"": ""{本棚}(ほんだな)"", ""reading"": ""ほんだな"", ""meanings"": [""bookshelf""]}, {""written_raw"": ""本当"", ""written_furigana"": ""{本当}(ほんとう)"", ""reading"": ""ほんとう"", ""meanings"": [""real"", ""true""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0010,N5,10,10,中,"[""in"", ""inside"", ""middle"", ""mean"", ""center""]","{""onyomi"": [""チュウ""], ""kunyomi"": [""なか"", ""うち"", ""あた.る""], ""nanori"": [""あたる"", ""かなえ""]}",4,1,11,[2],[],"[{""symbol"": ""｜"", ""meanings"": []}, {""symbol"": ""口"", ""meanings"": [""mouth""]}]",False,"[{""written_raw"": ""〜中"", ""written_furigana"": ""〜{中}(じゅう)"", ""reading"": ""〜じゅう"", ""meanings"": [""during"", ""while""]}, {""written_raw"": ""〜中"", ""written_furigana"": ""〜{中}(ちゅう)"", ""reading"": ""〜ちゅう"", ""meanings"": [""during"", ""while ~ing""]}, {""written_raw"": ""中"", ""written_furigana"": ""{中}(なか)"", ""reading"": ""なか"", ""meanings"": [""inside"", ""middle"", ""among""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
