id,level,order,source_order,curriculum,written,reading,meanings,parts_of_speech,common,examples,provenance
n5-vocab-0001,N5,1,53,"{""genki_lesson"": 1}","{""primary"": ""医者"", ""variants"": [""医者""], ""without_furigana"": ""医者"", ""with_furigana"": ""{医者}(いしゃ)"", ""lookup_text"": ""医者""}","{""primary"": ""いしゃ"", ""variants"": [""いしゃ""], ""source_text"": ""いしゃ""}","[""doctor"", ""physician""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""医者は彼の折れた足をついだ。"", ""japanese_furigana"": ""<furigana>医者は彼の折れた足をついだ。</furigana>"", ""english"": ""The doctor set his broken leg."", ""source"": ""tatoeba"", ""source_id"": ""190767""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""f&|8.,xzY9"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1159980"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0002,N5,2,66,"{""genki_lesson"": 1}","{""primary"": ""今"", ""variants"": [""今""], ""without_furigana"": ""今"", ""with_furigana"": ""{今}(いま)"", ""lookup_text"": ""今""}","{""primary"": ""いま"", ""variants"": [""いま""], ""source_text"": ""いま""}","[""now""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""adj-no"", ""label"": ""nouns which may take the genitive case particle 'no'""}, {""code"": ""adv"", ""label"": ""adverb (fukushi)""}]",True,"[{""japanese_raw"": ""今のアナウンスは何だったのですか。"", ""japanese_furigana"": ""<furigana>今のアナウンスは何だったのですか。</furigana>"", ""english"": ""What did the announcement just say?"", ""source"": ""tatoeba"", ""source_id"": ""172752""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""N{Ld-iFO]H"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1288850"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0003,N5,3,68,"{""genki_lesson"": 1}","{""primary"": ""妹"", ""variants"": [""妹""], ""without_furigana"": ""妹"", ""with_furigana"": ""{妹}(いもうと)"", ""lookup_text"": ""妹""}","{""primary"": ""いもうと"", ""variants"": [""いもうと""], ""source_text"": ""いもうと""}","[""younger sister (humble)""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""あのかわいい少女は私の妹です。"", ""japanese_furigana"": ""<furigana>あのかわいい少女は私の妹です。</furigana>"", ""english"": ""That pretty girl is my sister."", ""source"": ""tatoeba"", ""source_id"": ""231347""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""BL_XI^txw+"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1524590"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0004,N5,4,90,"{""genki_lesson"": 1}","{""primary"": ""英語"", ""variants"": [""英語""], ""without_furigana"": ""英語"", ""with_furigana"": ""{英語}(えいご)"", ""lookup_text"": ""英語""}","{""primary"": ""えいご"", ""variants"": [""えいご""], ""source_text"": ""えいご""}","[""English (language)""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""アメリカでは英語を話します。"", ""japanese_furigana"": ""<furigana>アメリカでは英語を話します。</furigana>"", ""english"": ""They speak English in America."", ""source"": ""tatoeba"", ""source_id"": ""230259""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""l~kTfp|Na~"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1174420"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0005,N5,5,91,"{""genki_lesson"": 1}","{""primary"": ""ええ"", ""variants"": [""ええ""], ""without_furigana"": ""ええ"", ""with_furigana"": ""ええ"", ""lookup_text"": ""ええ""}","{""primary"": ""ええ"", ""variants"": [""ええ""], ""source_text"": ""ええ""}","[""yes""]","[{""code"": ""int"", ""label"": ""interjection (kandoushi)""}, {""code"": ""adj-f"", ""label"": ""noun or verb acting prenominally""}]",True,"[{""japanese_raw"": ""君、ええ仕事をしてるな。"", ""japanese_furigana"": ""<furigana>君、ええ仕事をしてるな。</furigana>"", ""english"": ""You're doing good work there."", ""source"": ""tatoeba"", ""source_id"": ""74920""}, {""japanese_raw"": ""「マナカの絵、見して」「えーー、恥ずかしいですよー」"", ""japanese_furigana"": ""<furigana>「マナカの絵、見して」「えーー、恥ずかしいですよー」</furigana>"", ""english"": ""\""Lemme see your painting, Manaka.\"" \""Must you? It's embarrassing!\"""", ""source"": ""tatoeba"", ""source_id"": ""75055""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""K4f;DsCIdC"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1001140"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0006,N5,6,102,"{""genki_lesson"": 1}","{""primary"": ""お母さん"", ""variants"": [""お母さん""], ""without_furigana"": ""お母さん"", ""with_furigana"": ""お{母}(かあ)さん"", ""lookup_text"": ""お母さん""}","{""primary"": ""おかあさん"", ""variants"": [""おかあさん""], ""source_text"": ""おかあさん""}","[""mother (formal)""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""pn"", ""label"": ""pronoun""}]",True,"[{""japanese_raw"": ""お母さんに口答えしてはいけませんよ。"", ""japanese_furigana"": ""<furigana>お母さんに口答えしてはいけませんよ。</furigana>"", ""english"": ""Don't answer your mother back."", ""source"": ""tatoeba"", ""source_id"": ""226625""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""JmU7?0Aw7)"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1002650"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0007,N5,7,117,"{""genki_lesson"": 1}","{""primary"": ""お父さん"", ""variants"": [""お父さん""], ""without_furigana"": ""お父さん"", ""with_furigana"": ""お{父}(とう)さん"", ""lookup_text"": ""お父さん""}","{""primary"": ""おとうさん"", ""variants"": [""おとうさん""], ""source_text"": ""おとうさん""}","[""father (formal)""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""pn"", ""label"": ""pronoun""}]",True,"[{""japanese_raw"": ""お父さんは煙草の煙でたくさん輪を作れる。"", ""japanese_furigana"": ""<furigana>お父さんは煙草の煙でたくさん輪を作れる。</furigana>"", ""english"": ""Dad can blow many smoke rings."", ""source"": ""tatoeba"", ""source_id"": ""226723""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""Kh?V(6)C|2"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1002590"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0008,N5,8,118,"{""genki_lesson"": 1}","{""primary"": ""弟"", ""variants"": [""弟""], ""without_furigana"": ""弟"", ""with_furigana"": ""{弟}(おとうと)"", ""lookup_text"": ""弟""}","{""primary"": ""おとうと"", ""variants"": [""おとうと""], ""source_text"": ""おとうと""}","[""younger brother""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""彼は私と弟を取り違えた。"", ""japanese_furigana"": ""<furigana>彼は私と弟を取り違えた。</furigana>"", ""english"": ""He mistook me for my younger brother."", ""source"": ""tatoeba"", ""source_id"": ""106259""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""ht,o]F,GkV"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1581930"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0009,N5,9,126,"{""genki_lesson"": 1}","{""primary"": ""お兄さん"", ""variants"": [""お兄さん""], ""without_furigana"": ""お兄さん"", ""with_furigana"": ""お{兄}(にい)さん"", ""lookup_text"": ""お兄さん""}","{""primary"": ""おにいさん"", ""variants"": [""おにいさん""], ""source_text"": ""おにいさん""}","[""(someone else's) older brother (formal)""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""彼のお兄さんは有名なサッカーの選手です。"", ""japanese_furigana"": ""<furigana>彼のお兄さんは有名なサッカーの選手です。</furigana>"", ""english"": ""His brother is a famous soccer player."", ""source"": ""tatoeba"", ""source_id"": ""117748""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""c-e]c9shpL"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1001830"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0010,N5,10,127,"{""genki_lesson"": 1}","{""primary"": ""お姉さん"", ""variants"": [""お姉さん""], ""without_furigana"": ""お姉さん"", ""with_furigana"": ""お{姉}(ねえ)さん"", ""lookup_text"": ""お姉さん""}","{""primary"": ""おねえさん"", ""variants"": [""おねえさん""], ""source_text"": ""おねえさん""}","[""older sister (formal)""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""あなたのお姉さんは審美感があるね。"", ""japanese_furigana"": ""<furigana>あなたのお姉さんは審美感があるね。</furigana>"", ""english"": ""Your sister has a sense of beauty."", ""source"": ""tatoeba"", ""source_id"": ""233601""}, {""japanese_raw"": ""ねえ蓮、お姉さんが手をつないであげようか？キミは毎年すぐにはぐれちゃうもんね。"", ""japanese_furigana"": ""<furigana>ねえ蓮、お姉さんが手をつないであげようか？キミは毎年すぐにはぐれちゃうもんね。</furigana>"", ""english"": ""By the way, Ren. Should I take your hand? Every year you wander off."", ""source"": ""tatoeba"", ""source_id"": ""75614""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""Q,2s6~F,9F"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1001990"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
